trip_id,arrival_time,departure_time,stop_id,stop_sequence
Red_R-1_RAIL_WD_UP,06:09:51,06:10:16,R24,5
Red_R-1_RAIL_WD_UP,06:12:08,06:12:33,R23,6
Red_R-1_RAIL_WD_UP,06:14:48,06:15:13,R22,7
Red_R-1_RAIL_WD_UP,06:16:44,06:17:12,R21,8
Red_R-1_RAIL_WD_UP,06:18:27,06:18:50,R20,9
Red_R-1_RAIL_WD_UP,06:20:33,06:20:57,R19,10
Red_R-1_RAIL_WD_UP,06:22:00,06:22:26,R18,11
Red_R-1_RAIL_WD_UP,06:23:45,06:24:11,R17,12
Red_R-1_RAIL_WD_UP,06:25:45,06:26:11,R16,13
Red_R-1_RAIL_WD_UP,06:27:46,06:28:12,R15,14
Red_R-1_RAIL_WD_UP,06:30:04,06:30:30,R14,15
Red_R-1_RAIL_WD_UP,06:31:58,06:32:24,R13,16
Red_R-1_RAIL_WD_UP,06:33:24,06:33:58,R12,17
Red_R-1_RAIL_WD_UP,06:35:00,06:35:28,R11,18
Red_R-1_RAIL_WD_UP,06:36:36,06:37:04,R10,19
Red_R-1_RAIL_WD_UP,06:38:11,06:38:46,R09,20
Red_R-1_RAIL_WD_UP,06:40:21,06:40:47,R08,21
Red_R-1_RAIL_WD_UP,06:43:42,06:44:12,R07,22
Red_R-1_RAIL_WD_UP,06:45:27,06:45:58,R06,23
Red_R-1_RAIL_WD_UP,06:47:12,06:47:37,R05,24
Red_R-1_RAIL_WD_UP,06:49:07,06:49:44,R04,25
Red_R-1_RAIL_WD_UP,06:51:18,06:51:44,R03,26
Red_R-1_RAIL_WD_UP,06:53:17,06:53:46,R02,27
Red_R-1_RAIL_WD_DN,06:00:00,06:00:00,R02,1
Red_R-1_RAIL_WD_DN,06:01:33,06:02:02,R03,2
Red_R-1_RAIL_WD_DN,06:03:36,06:04:02,R04,3
Red_R-1_RAIL_WD_DN,06:05:32,06:06:09,R05,4
Red_R-1_RAIL_WD_DN,06:07:23,06:07:48,R06,5
Red_R-1_RAIL_WD_DN,06:09:03,06:09:34,R07,6
